brand,title,type,price,priceWithCurrency,available,availableText,sold
Roja,Roja Parfums Isola Blu Parfum Unisex 50ml / 1.7oz New With Sealed Box,Eau de Parfum,129.99,US $129.99,5.0,5 available / 37 sold,37.0
AS SHOWN,Perfume EDP for Women 3.4 oz / 100 ml Brand NEW,Eau de Parfum,22.99,US $22.99,10.0,10 available / 11 sold,11.0
Parfums de Marly,PDM PARFUMS DE MARLY DELINA EXCLUSIF 1.5ml .05fl oz x 1 PERFUME SPRAY SAMPLE,Parfum,12.0,US $12.00,10.0,More than 10 available / 59 sold,59.0
Marc Jacobs,Marc Jacobs Daisy Eau So Fresh 4.2 oz / 125 mL Eau De Toilette Brand New Sealed,Eau de Toilette,32.95,US $32.95,10.0,More than 10 available / 68 sold,68.0
Ariana Grande,Cloud by Ariana Grande 3.4 oz / 100 ML EDP Perfume for Women New In Box Sealed,Eau de Parfum,31.05,US $31.05/ea,9.0,9 available / 54 sold,54.0
Versace,Versace Dylan Turquoise by Gianni Versace for women EDT 3.3 / 3.4 oz New Tester,Eau de Toilette,32.2,US $32.20/ea,60.0,60 available / 157 sold,157.0
Sol De Janeiro,Sol de Janeiro Mini Brazilian Crush Body Fragrance Mist 3.04 oz/ 90 mL,Fragrance Mist,17.9,US $17.90/ea,10.0,More than 10 available / 4 sold,4.0
Kilian,Love by Kilian Don't Be Shy Eau de Parfum 7.5 ml/0.25 fl. oz. Free Shipping …,Eau de Parfum,29.75,US $29.75,9.0,9 available / 80 sold,80.0
Donna Karan,Donna Karan CASHMERE MIST Deodorant-Anti-Perspirant Stick 1 OZ / 30mL NEW,Deodorant Stick,19.99,US $19.99/ea,10.0,More than 10 available / 441 sold,441.0
Carolina Herrera,Carolina Herrera Good Girl 2.7 oz Eau De Parfum Spray Women's New & Sealed,Eau de Parfum,43.99,US $43.99/ea,2.0,2 available / 16 sold,16.0
Carolina Herrera,Very Good Girl GLAM by Carolina Herrera 2.7 oz EDP Spray Women's New & Sealed.,Eau de Parfum,59.99,US $59.99/ea,2.0,2 available / 21 sold,21.0
Marc Jacobs,Marc Jacobs Daisy Women's Eau De Toilette Spray For Women EDT 3.4Oz 100ml New,Eau de Toilette,42.88,US $42.88,10.0,More than 10 available / 71 sold,71.0
Parfums de Marly,PARFUMS de MARLY DELINA for WOMEN 2.5 oz (75ml) EDP Spray NEW SEALED  BOX,Eau de Parfum,100.99,US $100.99,0.0,Last One / 49 sold,49.0
Juliette has a gun,Juliette Has A Gun Discovery Kit includes LUST for sun SEALED new,Eau de Parfum,26.05,US $26.05/ea,10.0,More than 10 available / 128 sold,128.0
AS SHOWN,Flora Gorgeous Jasmine 3.3 oz / 100 ml EDP Perfume Spray for Women New In Box,Eau de Parfum,54.99,US $54.99/ea,5.0,5 available / 60 sold,60.0
Carolina Herrera,"Carolina Herrera's Good Girl 2.7 Oz – Women's EDP, New in Sealed Box",Eau de Parfum,49.99,US $49.99/ea,6.0,6 available / 179 sold,179.0
Viktor & Rolf,FLOWERBOMB BY VIKTOR & ROLF 3.4 OZ SPRAY EAU DE PARFUM SPRAY NEW & SEALED,Eau de Parfum,47.49,US $47.49/ea,2.0,2 available / 208 sold,208.0
Carolina Herrera,Good Girl by Carolina Herrera 2.7 Fl oz Spray Eau De Parfum Women's New & Sealed,Eau de Parfum,43.99,US $43.99,0.0,Last One / 166 sold,166.0
Narciso Rodriguez,Narciso Rodriguez for Her 3.3 / 100ML EDP Perfume for Women New In Box,Eau de Parfum,32.0,US $32.00,10.0,More than 10 available / 87 sold,87.0
Coach,Coach Wild Rose 3.0 oz EDP eau de parfum spray womens perfume 90 ml Tester,Eau de Parfum,31.5,US $31.50/ea,10.0,More than 10 available / 287 sold,287.0
Giorgio² Armani,My Way by Giorgio Armani 3oz 90ml EDP Perfume for Women New In Box,Eau de Parfum,42.99,US $42.99/ea,5.0,5 available / 243 sold,243.0
Yves Saint Laurent,"Libre, Eau De Parfum Intense By Yves Saint Laurent 3oz for Women NEW",Eau de Parfum,98.99,US $98.99,3.0,3 available / 56 sold,56.0
Viktor & Rolf,Flowerbomb by Viktor & Rolf 3.4 oz L'Eau de Parfum Spray Factory Sealed New,Eau de Parfum,42.0,US $42.00/ea,4.0,4 available / 404 sold,404.0
KENZO,Kenzo Amour by Kenzo EDP For Women Spray 3.3 oz / 100 ml *NEW IN BOX*,Eau de Parfum,39.99,US $39.99,10.0,More than 10 available / 102 sold,102.0
Burberry,Burberry Touch by Burberry 3.3 / 3.4 oz EDP Spray For Women Brand New Sealed,Eau de Parfum,27.99,US $27.99/ea,10.0,More than 10 available / 87 sold,87.0
Carolina Herrera,Good Girl by Carolina Herrera 2.7 Fl oz Eau De Parfum Spray New & Sealed In Box,Eau de Parfum,42.99,US $42.99/ea,2.0,2 available / 130 sold,130.0
Thierry Mugler,Thierry Mugler Angel 1.7oz EDP Women's Perfume Spray New Sealed,Eau de Parfum,43.99,US $43.99/ea,6.0,6 available / 25 sold,25.0
Versace,Versace Bright Crystal Eau De Toilette Rollerball Women 0.3 Oz/10 Ml,Eau de Toilette,15.49,US $15.49/ea,10.0,"More than 10 available / 1,089 sold",1089.0
Lattafa,Lattafa Fakhar EDP Spray 3.4 oz / 100 ml for Men,Eau de Parfum,23.25,US $23.25/ea,10.0,More than 10 available / 19 sold,19.0
Donna Karan,"Be Delicious DKNY by Donna Karan, 8 oz Fragrance Mist for Women",Gift Sets,16.26,US $16.26/ea,10.0,More than 10 available / 110 sold,110.0
Yves Saint Laurent,Yves Saint Laurent Libre Eau De Parfum  3.0 oz / 90 ml for Women,Eau De Parfum,49.68,US $49.68/ea,10.0,More than 10 available / 25 sold,25.0
Gucci,Gucci Flora Gorgeous Gardenia 3.3oz Women's Eau de Toilette Spray New Sealed Box,Eau de Toilette,49.99,US $49.99/ea,4.0,4 available / 41 sold,41.0
Dolce&Gabbana,Dolce & Gabbana Light Blue 3.3 /3.4 oz Women’s Eau de Toilette Spray NEW,Eau de Toilette,27.9,US $27.90/ea,2.0,2 available / 118 sold,118.0
Yves Saint Laurent,New Yves Saint Laurent Libre Eau De Parfum EDP Spray for Women 3.0 fl oz/90 ml！,Eau de Parfum,49.99,US $49.99/ea,5.0,5 available / 15 sold,15.0
Juicy Couture,VIVA LA JUICY GOLD COUTURE by Juicy Couture Women 3.3 / 3.4 oz EDP New in Box,Eau de Perfume,36.79,US $36.79/ea,68.0,"68 available / 1,498 sold",1498.0
Marc Jacobs,Daisy Eau So Fresh Perfume by Marc Jacobs 4.2 oz EDT Spray for Women. Sealed Box,Eau de Toilette,39.99,US $39.99/ea,10.0,"More than 10 available / 1,129 sold",1129.0
Maison Margiela,Maison Margiela Replica Sailing Day Eau de Toilette 3.4 oz New in Box US,Eau de Toilette,48.88,US $48.88,10.0,More than 10 available / 14 sold,14.0
Carolina Herrera,Carolina Herrera Very Good Girl 2.7 oz Daring Floral EDP New,Eau de Parfum,55.99,US $55.99/ea,6.0,6 available / 193 sold,193.0
Giorgio² Armani,My Way by Giorgio Armani 3 oz EDP Perfume for Women New In Box,Eau de Parfum,42.98,US $42.98,10.0,More than 10 available / 29 sold,29.0
Jo Malone,Jo Malone London Cologne Spray Travel Size 9ml/0.3oz **Choose Your Scent** NEW,Eau de Cologne,15.98,US $15.98/ea,10.0,More than 10 available / 40 sold,40.0
Elizabeth Arden,Elizabeth Arden White Tea Fragrance Collection Set for Women - 3Pc Mini Gift Set,3 Pc,19.45,US $19.45,50.0,50 available / 2 sold,2.0
Juliette has a gun,"Not a Perfume by Juliette Has A Gun, 3.3 oz EDP Spray for Women Eau De Parfum","Eau de Parfum, Eau De Parfume",49.99,US $49.99/ea,2.0,2 available / 288 sold,288.0
Sol De Janeiro,After Hours by Sol de Janeiro 3OZ/90 ML Fragrance Hair Body Mist Unisex Spray,Body Spray,20.49,US $20.49/ea,8.0,8 available / 190 sold,190.0
Narciso Rodriguez,Narciso Rodriguez for Her 3.3 fl oz / 100 ml EDP New Sealed Free Shipping,Eau de Parfum,31.0,US $31.00/ea,4.0,4 available / 266 sold,266.0
Urban Outfitters,Urban Outfitters Le Monde  Gourmand Eau De Parfum Fraise Fouettee 070 1oz.,Eau de Parfum,24.99,US $24.99/ea,9.0,9 available / 9 sold,9.0
Dossier,Dossier Ambery Vanilla Eau de Parfum. Size: 50ml / 1.7oz,Eau de Parfum,19.0,US $19.00/ea,10.0,More than 10 available / 10 sold,10.0
Dolce & Gabbana,D&G DOLCE & GABBANA DEVOTION EDP 1.5ml .05fl oz x 4 PERFUME SPRAY SAMPLE VIALS,Eau de Parfum,14.0,US $14.00,10.0,More than 10 available / 266 sold,266.0
Maison Alhambra,Glacier Bold EDP Perfume By Maison Alhambra Lattafa 100 M 💯 (Le Beau Le Perfume,Eau de Parfum,34.0,US $34.00,10.0,10 available / 45 sold,45.0
ALT Fragrances,"ALT Fragrances - Crystal No. 23 EDP (Inspired by Baccarat Rouge 540), 2 oz",Extrait de Parfum,49.0,US $49.00,10.0,More than 10 available / 443 sold,443.0
Estée Lauder,"Estee Lauder Cinnabar Eau De Parfum Spray, 1.7 oz / 50 ml Perfume, NWOB",Eau de Parfum,54.99,US $54.99/ea,10.0,More than 10 available / 17 sold,17.0
Victoria's Secret,Victoria's Secret Very Sexy Women's Perfume EDP 3.4 oz 100 ml New Sealed,Eau de Parfum,30.99,US $30.99/ea,10.0,More than 10 available / 302 sold,302.0
Kim Kardashian,KIM KARDASHIAN GOLD Perfume 3.3 / 3.4 oz EDP For Women NEW IN BOX,Eau de Perfume,16.63,US $16.63/ea,37.0,37 available / 528 sold,528.0
Thierry Mugler,Angel Standing Star Thierry Mugler 3.3 oz EDP Refillable Perfume for Women NIB,Eau de Parfum,60.0,US $60.00,10.0,More than 10 available / 256 sold,256.0
Viktor & Rolf,Flowerbomb by Viktor & Rolf EDP for Women 50 ml - 1.7 oz  *NEW IN SEALED BOX*,Eau de Parfum,42.99,US $42.99,10.0,More than 10 available / 155 sold,155.0
Gap,GAP DREAM BODY MIST 8FL OZ/236 mL FREE SHIPPING NEW,Mist,19.0,US $19.00,10.0,More than 10 available / 35 sold,35.0
Cacharel,AMOR AMOR by Cacharel Perfume for women 3.3 oz / 3.4 oz edt New,Eau de Toilette,25.27,US $25.27/ea,106.0,106 available / 539 sold,539.0
Dolce&Gabbana,Dolce & Gabbana Light Blue  3.3 oz / 3.4 oz EDT Spray for Women Brand New Sealed,"Eau de Toilette, Spray",29.9,US $29.90/ea,10.0,More than 10 available / 327 sold,327.0
Jessica McClintock,Jessica Mc Clintock by Jessica McClintock 3.4 oz EDP Perfume for Women Tester,Eau de Parfum,20.93,US $20.93/ea,0.0,"Limited quantity available / 1,484 sold",1484.0
AS  SHOWN,Women Perfume 3.4 oz / 100 ml Eau De Toilette Spray,Eau de Toilette,30.98,US $30.98,10.0,10 available / 12 sold,12.0
Versace,Versace Bright Crystal Eau De Toilette Spray 6.7 oz Factory Sealed Free Shipping,Eau de Toilette,41.5,US $41.50/ea,3.0,3 available / 255 sold,255.0
Kilian,Roses on Ice by Kilian 1.7 oz Eau de Parfum Spray for Women-New In Box,Eau de Parfum,64.99,US $64.99/ea,5.0,5 available / 4 sold,4.0
Ariana Grande,"Ariana Grande Cloud Pink - Charming 3.4oz Eau de Parfum, Sealed",Eau de Parfum,29.99,US $29.99/ea,9.0,9 available / 57 sold,57.0
Marc Jacobs,Daisy Eau So Fresh by Marc Jacobs for Women EDT Spray 4.2 oz / 125 ml New In Box,Eau de Toilette,30.79,US $30.79,3.0,3 available / 493 sold,493.0
Yves Saint Laurent,Mon Paris by Yves Saint Laurent 3 fl oz/90 ml EDP Spray for Women New & Sealed,Eau de Parfum,39.99,US $39.99/ea,10.0,10 available / 66 sold,66.0
Clinique,Clinique Happy by Clinique 3.3 / 3.4 oz Perfume EDP Spray for women NEW IN BOX,Perfume,21.27,US $21.27,2.0,2 available / 61 sold,61.0
Unbranded,Yara by Lattafa Perfumes | Eau De Parfum-100ml (3.4 fl oz) |-Female Long Lasting,/,15.89,US $15.89,10.0,More than 10 available / 434 sold,434.0
Valentino,Valentine Milano For Women Perfume 3.4 fl.oz from Fragrance Couture.,Perfume,10.99,US $10.99/ea,10.0,More than 10 available / 94 sold,94.0
Giorgio Armani,New Si by Giorgio Armani 3.4 oz / 100 mL EDP Perfume for Women - USA,Eau de Parfum,37.88,US $37.88/ea,8.0,8 available / 108 sold,108.0
Dolce&Gabbana,Light Blue 3.3 oz by Dolce & Gabbana EDT Perfume for Women New In Box & SEALED,Eau de Toilette,30.95,US $30.95/ea,8.0,8 available / 245 sold,245.0
Jimmy Choo,ILLICIT FLOWER by Jimmy Choo for women EDT 3.3 / 3.4 oz New Tester,Eau de Toilette,25.23,US $25.23/ea,8.0,8 available / 909 sold,909.0
Calvin Klein,Obsession by Calvin Klein EDP Perfume for Women 3.3 / 3.4 oz New Tester,Eau de Parfum,23.88,US $23.88/ea,0.0,"Limited quantity available / 5,587 sold",5587.0
Victoria's Secret,VICTORIA'S SECRET Bombshell Seduction Fine Fragrance Mist 8.4 fl oz - NEW,Fragrance Mist,18.5,US $18.50,6.0,6 available / 23 sold,23.0
Alfred Sung,SHI by Alfred Sung Perfume for Women EDP 3.3 / 3.4 oz New In Box Sealed,Eau de Perfume,20.45,US $20.45/ea,110.0,"110 available / 4,308 sold",4308.0
AS SHOWN,LIBRE By Yves Saint Laurent YSL Eau de Parfum EDP Perfume 3 Oz/90ML for Women,Eau de Parfum,59.99,US $59.99,10.0,More than 10 available / 114 sold,114.0
Gloria Vanderbilt,VANDERBILT by Gloria 3.4 oz 3.3 edt for Women Perfume  New Box Seal,Eau de Toilette,12.78,US $12.78/ea,149.0,"149 available / 10,268 sold",10268.0
PRADA,PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box USA,Eau de Parfum,64.99,US $64.99/ea,10.0,More than 10 available / 123 sold,123.0
Ariana Grande,Ariana Grande Cloud 2.0 Intense Eau De Parfum - 3.4 Oz  100 mL New & Sealed,Eau de Parfum,33.99,US $33.99,9.0,9 available / 89 sold,89.0
Dolce&Gabbana,Dolce & Gabbana Light Blue Women 3.4 fl oz 100 ML Eau de Toilette NEW SEALED BOX,Eau de Toilette,29.99,US $29.99/ea,8.0,8 available / 187 sold,187.0
Valentino,VALENTINO DONNA BORN IN ROMA INTENSE 3.4 oz 100ml EAU DE PARFUM SPRAY SEALED,Eau de Parfum,100.99,US $100.99,0.0,Last One / 47 sold,47.0
Parfums,Cabotine De Gres by Parfums 3.3 / 3.4 oz EDT Perfume For Women NEW IN BOX,Eau de Toilette,14.75,US $14.75/ea,183.0,"183 available / 1,999 sold",1999.0
PRADA,Prada Paradoxe EDP Mini Bottle 7ml/.23oz,Eau de Parfum,19.0,US $19.00,10.0,More than 10 available,0.0
Jimmy Choo,JIMMY CHOO by Jimmy Choo 3.3 / 3.4 oz Spray EDT for Women NEW IN BOX,Eau de Toilette,33.52,US $33.52/ea,131.0,"131 available / 2,846 sold",2846.0
Kilian,Good Girl Gone Bad by Kilian 1.7 oz / 50 ml Eau De Parfum Spray - New,Eau de Parfum,100.99,US $100.99,0.0,Last One / 48 sold,48.0
Ouai,OUAI Hair & Body Mist In ST. BARTS 3.3oz / 97ml Full Size NEW RELEASE '24,Fragrance Mist,28.0,US $28.00/ea,2.0,2 available,0.0
Lancôme,"La Vie Est Belle by Lancome 3.4 Oz – Women's L'eau De Parfum, Sealed Freshness",Eau de Parfum,49.99,US $49.99/ea,5.0,5 available / 127 sold,127.0
Valentino,Valentino Donna Born In Roma Eau De Parfum  2ML Spray For Women,Eau de Parfum,9.7,US $9.70,10.0,More than 10 available / 2 sold,2.0
Thierry Mugler,ANGEL Thierry Mugler Eau De parfum Spray Women's 3.4 oz / 100 ml New Sealed Box,Eau de Parfum,44.99,US $44.99,8.0,8 available / 232 sold,232.0
Ellis Brooklyn,NWB Ellis Brooklyn Miami Nectar Eau de Parfum - Travel Size - Set of 2,Eau de Parfum,33.0,US $33.00,0.0,,0.0
Ariana Grande,Cloud by Ariana Grande 3.4 oz / 100 ML EDP Perfume for Women New In Box Sealed,Eau de Parfum,33.8,US $33.80/ea,8.0,8 available / 303 sold,303.0
Lattafa,Fakhar by Lattafa 3.4 oz / 100 ml EDP Spray for Men,Eau de Parfum,22.99,US $22.99/ea,10.0,More than 10 available / 8 sold,8.0
As Show,J'adore 3.4 oz/100 ml Eau De Parfum EDP Women Spray Gift For Her New & Sealed US,Eau de Parfum,49.99,US $49.99,8.0,8 available / 22 sold,22.0
Elizabeth Taylor,Forever Elizabeth by Elizabeth Taylor 3.4 oz Spray edp 3.3 Perfume NEW in Box,"Perfume, Eau de Parfum",17.89,US $17.89/ea,71.0,"71 available / 5,263 sold",5263.0
Burberry,Brit Sheer by Burberry 3.3 / 3.4 oz EDT Perfume for Women New In Box,Eau de Toilette,35.09,US $35.09/ea,45.0,45 available / 755 sold,755.0
Calvin Klein,OBSESSION NIGHT by Calvin Klein Perfume for Women 3.3 / 3.4 oz EDP New in Box,Eau de Parfum,25.57,US $25.57/ea,194.0,194 available / 472 sold,472.0
Elizabeth Taylor,BRILLIANT White Diamonds Elizabeth Taylor women 3.3 oz 3.4 edt NEW IN BOX,Eau de Toilette,16.44,US $16.44/ea,64.0,64 available / 315 sold,315.0
Generic,LA VIDA BELLA POUR FEMME EAU DE PARFUM SPRAY FOR WOMEN 3.4 Oz / 100 ml BRAND NEW,Eau de Parfum,10.99,US $10.99/ea,10.0,More than 10 available / 29 sold,29.0
Kilian,Kilian Angels' Share Eau De Parfum Sample Spray Vial 1.5ml / 0.05oz,Eau de Parfum,7.99,US $7.99/ea,10.0,More than 10 available / 333 sold,333.0
Thierry Mugler,Alien by Thierry Mugler EDP for Women REFILLABLE 1oz / 30ml *NEW SEALED BOX*,Eau de Parfum,43.99,US $43.99,10.0,More than 10 available / 109 sold,109.0
Al Haramain,Al Haramain Amber Oud White Edition EDP 3.4 oz/ 100ml Perfume Tester,Fragrances,36.65,US $36.65,3.0,3 available / 22 sold,22.0
Dolce&Gabbana,Dolce & Gabbana Light Blue  3.3 oz / 3.4 oz EDT Spray for Women Brand New Sealed,"Eau de Toilette, Spray",29.99,US $29.99/ea,10.0,More than 10 available / 315 sold,315.0
As Show,Flora Gorgeous Magnolia By-Gucci Eau De Parfum EDP 3.3 Oz Perfume For Women NIB,Eau de Parfum,54.99,US $54.99,0.0,Last One / 9 sold,9.0
Parfums de Marly,Parfums De Marly Delina EDP Official Carded Sample Spray 0.05oz / 1.5ml,Eau de Parfum,12.49,US $12.49/ea,8.0,8 available / 490 sold,490.0
Dolce&Gabbana,Dolce & Gabbana The One 2.5 oz / 75 ml Eau De Parfum Spray Women's New & Sealed,Eau de Parfum,49.99,US $49.99/ea,2.0,2 available / 15 sold,15.0
Al Rehab,Choco Musk Arabian Perfume Spray- 50ml by Al Rehab by Crown perfumes.,Eau de Parfum,9.25,US $9.25/ea,10.0,More than 10 available / 290 sold,290.0
BYREDO,Byredo Mojave Ghost Eau de Parfum EDP Spray 3.4 oz / 100 ml Perfume for Unisex,Eau de Parfum,100.99,US $100.99,0.0,Last One / 13 sold,13.0
AS SHOWN,New Jo Malone London Wood Sage & Sea Salt Cologne Spray 3.4 oz/ 100 ml for Women,Eau De Cologne,50.68,US $50.68/ea,3.0,3 available / 7 sold,7.0
Huda Beauty Kayali,KAYALI EDEN SPARKLING LYCHEE | 39 Eau de Parfum 0.34 oz SEALED MADE IN FRANCE,Eau de Parfum,42.0,US $42.00,4.0,4 available / 11 sold,11.0
Coach,COACH Floral Blush by Coach perfume for women EDP 3 / 3.0 oz New in Box,Eau de Parfum,38.92,US $38.92/ea,141.0,"141 available / 2,515 sold",2515.0
As Show,3.3 oz 100 ml Flora Gorgeous Gardena Eau De Parfum EDP For Women New In Box,Eau de Parfum,49.99,US $49.99,4.0,4 available / 46 sold,46.0
Unbranded,Versace Dylan 3.4 oz Eau de Parfum Spray Parfume Fragrances for Women Purple,Eau de Parfum,58.99,US $58.99,10.0,More than 10 available / 12 sold,12.0
Versace,VERSACE WOMAN by Gianni Versace Perfume for Women EDP 3.4 oz New in Box SEALED,Eau de Parfum,33.38,US $33.38/ea,76.0,"76 available / 2,715 sold",2715.0
Dolce&Gabbana,Light Blue by Dolce & Gabbana 3.3 / 3.4 oz EDT Perfume for Women New In Box,"Eau de Toilette, Spray",29.65,US $29.65,6.0,6 available / 821 sold,821.0
Evyan,White Shoulders 4.5 oz Perfume for Women Eau de Cologne Spray New In Box,Eau de Cologne,18.63,US $18.63/ea,13.0,"13 available / 3,185 sold",3185.0
