brand,title,type,price,priceWithCurrency,available,availableText,sold
Estée Lauder,Beautiful by Estee Lauder 2.5 oz / 75ml EDP Perfume For Women Brand New Sealed!!,Eau de Parfum,28.05,US $28.05/ea,8.0,8 available / 299 sold,299.0
Juliette has a gun,Juliette Has A Gun Not a Perfume Eau De Parfum 3.3 fl. oz / 100 ml Spray Women,Eau de Parfum,55.1,US $55.10,0.0,Last One / 39 sold,39.0
Lake&skye,Lake & Skye 11 11 Eau De Parfum 3.4oz  (WITHOUT BOX),Eau de Parfum,99.99,US $99.99/ea,2.0,2 available / 3 sold,3.0
Unbranded,SOL DE JANEIRO Brazilian Crush 39 Perfume Body Mist Fragrance 3.4floz New in Box,Perfume,19.75,US $19.75,10.0,More than 10 available / 33 sold,33.0
Burberry,Burberry Weekend by Burberry 3.3 / 3.4 oz EDP Perfume for Women New In Box,Eau de Parfum,34.08,US $34.08/ea,0.0,"Limited quantity available / 4,332 sold",4332.0
Frederic Malle,Portrait of a Lady By Frederic Malle Eau De Parfum Sample Spray 1.2ml / 0.04oz,Eau de Parfum,12.95,US $12.95/ea,4.0,4 available / 73 sold,73.0
Marilyn Miglin,SEALED DEAL Marilyn Miglin HUGE 3.4 Oz Pherómone Eau de Parfum PHEROMONE,Eau de Parfum,30.0,US $30.00,3.0,3 available / 4 sold,4.0
Aquolina,Pink Sugar hair perfume by Aquolina for women 3.4 oz EDP New,Hair Perfume,12.36,US $12.36/ea,417.0,"417 available / 1,130 sold",1130.0
Gucci,Gucci Bamboo by Gucci 2.5 oz Eau De Parfum Spray for Women New & Sealed,Eau de Parfum,43.99,US $43.99/ea,2.0,2 available / 136 sold,136.0
Thierry Mugler,"Angel Perfume by Thierry Mugler, 3.4 oz Refillable EDP BRAND NEW SEALED IN BOX",Eau de Parfum,51.99,US $51.99/ea,3.0,3 available / 179 sold,179.0
Jo Malone,Jo Malone Orange Blossom  Cologne Spray Women's Eau de  - 3.4 fl oz/100ml,Eau de Cologne,79.99,US $79.99,10.0,More than 10 available / 15 sold,15.0
Gucci,Gucci Bamboo 2.5oz Women's Eau de Parfum Spray New Sealed,Eau de Parfum,43.69,US $43.69/ea,6.0,6 available / 18 sold,18.0
Perry Ellis,360 by Perry Ellis Perfume 6.7 oz for Women edt NEW IN BOX,Eau de Toilette,35.39,US $35.39/ea,31.0,"31 available / 2,209 sold",2209.0
Estée Lauder,Pleasures by Estee Lauder 3.4 oz EDP Perfume for Women New In Box,"Eau de Parfum, Spray",34.28,US $34.28/ea,0.0,"Limited quantity available / 5,901 sold",5901.0
Dolce & Gabbana,The One by Dolce & Gabbana 2.5 oz EDP Perfume for Women Brand New Tester,Eau de Parfum,43.32,US $43.32/ea,0.0,Limited quantity available / 252 sold,252.0
Giorgio² Armani,My Way by Giorgio Armani 3oz 90ml EDP Perfume for Women Spray New In Box,Eau de Parfum,41.99,US $41.99,3.0,3 available / 7 sold,7.0
Ariana Grande,Cloud 2.0 Intense by Ariana Grande 3.4 oz Eau De Parfum Spray New & Sealed,Eau de Parfum,29.49,US $29.49/ea,5.0,5 available / 45 sold,45.0
Carolina Herrera,GOOD GIRL CAROLINA HERRERA 2.7 OZ / 80 ML EDP NEW FACTORY SEALED FREE SHIPPING,Eau de Parfum,41.99,US $41.99/ea,4.0,4 available / 369 sold,369.0
Armaf,Club de Nuit by Armaf perfume for women EDP 6.8 oz New in Box,Eau de Perfume,36.59,US $36.59/ea,175.0,175 available / 931 sold,931.0
Ariana Grande,"Ariana Grande Cloud - Dreamy 3.4oz Women's Eau de Parfum, New in Box",Eau de Parfum,33.99,US $33.99/ea,3.0,3 available / 40 sold,40.0
Lancôme,Tresor by Lancome for Women EDP Spray 3.4 oz / 100 ml New In Box,Eau de Parfum,41.99,US $41.99,0.0,Last One / 220 sold,220.0
Giorgio Armani,Giorgio Armani My Way for Women 3 fl.oz Eau de Parfum Spray,Eau de Parfum,49.0,US $49.00/ea,7.0,7 available / 13 sold,13.0
Carolina Herrera,Good Girl BLUSH by Carolina Herrera 2.7 oz.EDP Spray for Women New in Sealed Box,Eau de Parfum,119.99,US $119.99/ea,10.0,10 available / 141 sold,141.0
Lattafa Perfumes,"Lattafa Perfumes Mayar EDP - Eau De Parfum Women 100ml(3.4 oz) | Lychee, white f",Eau de Parfum,26.99,US $26.99/ea,6.0,6 available / 155 sold,155.0
ALFRED SUNG,Sung by Alfred Sung for women EDT 3.3 / 3.4 oz New Tester,Eau de Toilette,15.99,US $15.99/ea,216.0,"216 available / 1,107 sold",1107.0
Elizabeth Taylor,White Diamonds by Elizabeth Taylor 3.3 3.4 oz EDT Perfume for Women New Tester,Eau de Toilette,19.68,US $19.68,10.0,"More than 10 available / 10,259 sold",10259.0
Coach,Coach Wild Rose 3 oz EDP Perfume for Women New In Box,Eau de Parfum,42.28,US $42.28,0.0,Last One / 796 sold,796.0
Donna Karan,Donna karen Cashmere Mist Deodorant 1.7oz,Cream,26.99,US $26.99,10.0,More than 10 available / 69 sold,69.0
Valentino,Valentino Donna Born In Roma Perfume 3.4oz.EDP Spray for Women New in Sealed Box,Eau de Parfum,109.95,US $109.95/ea,10.0,10 available / 416 sold,416.0
Katy Perry,MEOW by KATY PERRY Eau de Parfum 3.4 oz for 3.3 Women NEW IN BOX,Eau de Perfume,23.75,US $23.75/ea,132.0,132 available / 417 sold,417.0
Carolina Herrera,Carolina Herrera Good Girl Blush Eau de Parfum 0.24 Oz 7 mL Splash Dabber Travel,Eau de Parfum,18.99,US $18.99/ea,10.0,More than 10 available / 25 sold,25.0
Clinique,Aromatics Elixir by Clinique 3.4 oz/100 ml Perfume Spray for Women,Perfume,33.0,US $33.00/ea,10.0,10 available / 232 sold,232.0
Lancôme,La Vie Est Belle By Lancome 3.4 Fl oz Spray Eau De Parfum Women's New & Sealed,Eau de Parfum,41.49,US $41.49,0.0,Last One / 61 sold,61.0
Calvin Klein,Eternity by CK Calvin Klein 3.4 oz EDP Perfume for Women Tester,Eau de Parfum,32.12,US $32.12,0.0,"Limited quantity available / 7,018 sold",7018.0
AS SHOWN,PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray for Women USA New In Box,Eau de Parfum,55.39,US $55.39,0.0,Last One / 6 sold,6.0
Lancôme,Idole by Lancome perfume for women EDP 1.7 oz New 50 ml,Eau de Parfum,36.99,US $36.99,8.0,8 available / 66 sold,66.0
Yves Saint Laurent,Yves Saint Laurent Black Opium Women's Perfume EDP 3.0 oz 90 ml Sealed New,Eau de Parfum,54.99,US $54.99/ea,10.0,More than 10 available / 74 sold,74.0
Victoria's Secret,Victoria's Secret Heavenly 3.4 fl oz Spray Eau de Parfum Women's New & Sealed,Eau de Parfum,28.99,US $28.99/ea,3.0,3 available / 43 sold,43.0
Carolina Herrera,Carolina Herrera Good Girl Women EDP 2.7 oz Spray New Sealed,Eau de Parfum,49.99,US $49.99/ea,6.0,6 available / 22 sold,22.0
Juicy Couture,Viva La Juicy Rose by Juicy Couture 3.4 oz EDP Perfume for Women New In Box,Eau de Parfum,34.59,US $34.59,0.0,"Limited quantity available / 1,790 sold",1790.0
Montblanc,Montblanc - Signature Eau De Parfum Spray  90ml/3oz,Eau de Parfum,39.47,US $39.47,0.0,Limited quantity available / 99 sold,99.0
Atelier Cologne,Atelier Cologne - Orange Sanguine Cologne Absolue Spray  30ml/1oz,Eau de Parfum,29.9,US $29.90,3.0,3 available / 6 sold,6.0
AS SHOW,PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box,Eau de Parfum,59.99,US $59.99,0.0,Last One / 8 sold,8.0
Christian Audigier,ED HARDY HEARTS & DAGGERS 3.4 / 3.3 oz EDP For Women NEW in BOX,Eau de Parfum,20.42,US $20.42/ea,204.0,"204 available / 3,525 sold",3525.0
Donna Karan,Cashmere Mist by Donna Karan 3.4 oz / 100mL Spray for Women EDP Brand New Sealed,Eau de Parfum,29.99,US $29.99/ea,10.0,More than 10 available / 223 sold,223.0
Vera Wang,PRINCESS by VERA WANG Perfume 3.3 / 3.4 oz EDT For Women NEW in BOX,Eau de Toilette,25.42,US $25.42/ea,107.0,"107 available / 4,123 sold",4123.0
Yves Saint Laurent,Yves Saint Laurent Cinema Eau de Parfum Spray for Women 3.0 Oz New,Eau de Parfum,59.99,US $59.99/ea,6.0,6 available / 29 sold,29.0
Marc Jacobs,Marc Jacobs Decadence For Women 3.4 oz 100ml EDP Spray New in Box,Eau de Parfum,62.99,US $62.99/ea,2.0,2 available / 16 sold,16.0
Burberry,Brit Sheer by Burberry 3.3 / 3.4 oz EDT Perfume for Women New In Box,Eau de Toilette,35.08,US $35.08/ea,0.0,"Limited quantity available / 6,191 sold",6191.0
Jo Malone,Jo Malone Myrrh & Tonka Cologne Intense Spray Women's Eau de  - 3.4 fl oz/100ml,Eau de Cologne,95.99,US $95.99,10.0,More than 10 available / 30 sold,30.0
Jo Malone,Jo Malone English Pear & Freesia 100ml/3.4fl oz Unisex Perfume Cologne Spray,Eau de Cologne,49.99,US $49.99/ea,6.0,6 available / 117 sold,117.0
Philosophy,NIB Philosophy Pure Grace 2oz  EDT Women's Perfume New Authentic,Perfume,30.17,US $30.17,10.0,More than 10 available / 441 sold,441.0
Coach,Coach by Coach 3 / 3.0 oz EDP Perfume for Women New In Box,Eau de Parfum,37.19,US $37.19/ea,0.0,"Limited quantity available / 3,080 sold",3080.0
Maison Alhambra,Maison Alhambra Ladies La Vita Bella Intensa EDP 3.4 oz Fragrances 6291108735954,Fragrances,18.79,US $18.79,3.0,3 available / 22 sold,22.0
Yves Saint Laurent,Black Opium Yves Saint Laurent 3.0 oz Eau De Parfum Perfume New Factory Sealed,Eau de Parfum,40.0,US $40.00/ea,4.0,4 available / 602 sold,602.0
Burberry,Burberry Burberry Her Eau De Parfum 2 Pcs Set  / New With Box,Eau De Parfum 2 Pcs Set,79.99,US $79.99,10.0,More than 10 available / 7 sold,7.0
GUESS,Guess Marciano perfume for women EDP 3.3 / 3.4 oz New in Box,Eau de Parfum,20.44,US $20.44/ea,35.0,"35 available / 7,558 sold",7558.0
PRADA,PRADA CANDY BY PRADA 2.7 oz 80ML Eau de Parfum BRAND NEW SEALED IN BOX,Eau de Parfum,44.99,US $44.99/ea,7.0,7 available / 42 sold,42.0
Coty,Exclamation by Coty Perfume for Women Cologne Spray 1.7 oz New In Box,Eau de Cologne,14.89,US $14.89,0.0,"Limited quantity available / 7,331 sold",7331.0
Calvin Klein,OBSESSION by CALVIN KLEIN for Women 3.4 oz 100 ml Eau de Parfum Spray NEW,Eau de Parfum,23.95,US $23.95/ea,5.0,5 available / 655 sold,655.0
Carolina Herrera,Good Girl by Carolina Herrera 2.7 Fl oz Spray Women's Eau De Parfum New & Sealed,Eau de Parfum,43.99,US $43.99/ea,2.0,2 available / 11 sold,11.0
As Show,Black Orchid By Tom Ford3.4 oz / 100 ml EDP for Women New in Box Regular Size,Eau de Parfum,59.99,US $59.99/ea,5.0,5 available / 6 sold,6.0
Dolce & Gabbana,Light Blue eau Intense by Dolce & Gabbana D&G EDP Perfume for Women 3.3 / 3.4 oz,Eau de Parfum,52.78,US $52.78,0.0,"Limited quantity available / 3,759 sold",3759.0
Versace,Versace Dylan Purple By Versace 3.4oz./100ml Edp Spray Women New Same As Picture,Eau de Parfum,54.9,US $54.90,10.0,10 available / 10 sold,10.0
Dolce & Gabbana,D & G THE ONE Dolce & Gabbana Perfume 2.5 oz edp BRAND NEW tester WITH CAP,Eau de Perfume,43.33,US $43.33/ea,23.0,23 available / 280 sold,280.0
Armaf,"ARMAF CLUB DE NUIT 3.4 OZ, EDP FOR WOMEN IN SEALED BOX",Eau de Parfum,29.45,US $29.45/ea,10.0,More than 10 available / 355 sold,355.0
Dossier,Dossier FRUITY ALMOND Eau de Parfum 1.7 Fl oz / 50 mL Perfume NEW IN BOX,Eau de Parfum,20.0,US $20.00/ea,8.0,8 available / 22 sold,22.0
Ariana Grande,Ariana Grande Cloud Pink Eau De Parfum 3.4 fl oz Spray Women's New And Sealed,Eau de Parfum,29.99,US $29.99/ea,2.0,2 available / 62 sold,62.0
Elizabeth Taylor,PASSION by Elizabeth Taylor 2.5 oz edt New in Box Sealed,Eau de Toilette,20.48,US $20.48/ea,48.0,48 available / 620 sold,620.0
Parfums de Marly,PDM PARFUMS DE MARLY VALAYA EDP 1.5ml .05fl oz x 1 PERFUME SPRAY SAMPLE,Eau de Parfum,12.0,US $12.00,9.0,9 available / 29 sold,29.0
Clean,Clean Warm Cotton 2.14 oz EDP Perfume for Women Brand New Tester,Eau de Parfum,22.09,US $22.09,10.0,More than 10 available / 332 sold,332.0
Juicy Couture,VIVA LA JUICY NOIR by Juicy Couture Perfume Women 3.4 oz edp 3.3 New in Box,Eau de Parfum,34.38,US $34.38/ea,131.0,"131 available / 2,361 sold",2361.0
Juicy Couture,COUTURE LA LA Juicy Couture women perfume edp 3.4 oz 3.3 NEW IN BOX,Eau de Parfum,24.24,US $24.24/ea,251.0,"251 available / 3,152 sold",3152.0
Giorgio Armani,Giorgio Armani My Way Parfum For Women 15ML/0.5fl.oz. New In Box & Sealed,Eau de Parfum,21.95,US $21.95/ea,10.0,More than 10 available / 8 sold,8.0
Afnan,"Mystique Bouquet by Afnan, 2.7 oz EDP Spray for Women",Eau De Parfum,39.89,US $39.89/ea,10.0,More than 10 available / 8 sold,8.0
Britney Spears,FANTASY Britney Spears women perfume edp 3.3 oz 3.4 NEW TESTER,Eau de Parfum,18.94,US $18.94/ea,235.0,"235 available / 1,804 sold",1804.0
Jimmy Choo,JIMMY CHOO by Jimmy Choo 3.3 / 3.4 oz Spray EDT Perfume for Women Tester,Eau de Toilette,24.51,US $24.51,0.0,Last One / 601 sold,601.0
Lancôme,Miracle Perfume by Lancome 3.4 oz L'eau de Parfum Spray for Women NEW & SEALED,Eau de Parfum,32.99,US $32.99/ea,8.0,8 available / 238 sold,238.0
Coach,Coach Dreams Sunset EDP 7.5ML Mini with Pouch,Eau de Parfum,16.95,US $16.95,10.0,More than 10 available / 15 sold,15.0
Victoria's Secret,"Victoria's Secret Bombshell - Enticing 3.4oz Perfume, Sealed in Box",Eau de Parfum,33.99,US $33.99/ea,7.0,7 available / 149 sold,149.0
Burberry,Burberry Brit by Burberry 3.3 / 3.4 oz EDT Perfume for Women New In Box,Eau de Toilette,35.73,US $35.73/ea,557.0,"557 available / 2,590 sold",2590.0
Estee Lauder,"Sensuous by Estee Lauder, 1.7 oz EDP Spray for Women",Eau De Parfum,34.98,US $34.98/ea,10.0,More than 10 available / 131 sold,131.0
Yves Saint Laurent,Libre By Yves Saint Laurent for Women EDT 3 oz / 90 ml *NEW IN SEALED BOX*,Eau de Parfum,59.96,US $59.96,4.0,4 available / 19 sold,19.0
Kilian,Angels' Share By Kilian 1.7 oz Eau de Parfum Spray Refillable 50ML NEW WITH BOX,Eau de Parfum,64.88,US $64.88/ea,5.0,5 available / 42 sold,42.0
Lancôme,La Vie Est Belle by Lancome 3.4 oz 100 ml L'Eau De Parfum BRAND NEW SEALED BOX,Eau de Parfum,69.99,US $69.99/ea,9.0,9 available / 25 sold,25.0
Calvin Klein,CK SHEER BEAUTY Calvin Klein women edt 3.4 oz 3.3 NEW IN BOX,Eau de Toilette,25.69,US $25.69/ea,11.0,11 available / 169 sold,169.0
Yves Saint Laurent,Yves Saint Laurent Libre Eau De Parfum EDP Spray For Women 3.0 Oz 90 ml New Seal,Eau de Parfum,49.68,US $49.68,10.0,More than 10 available / 21 sold,21.0
Giorgio Armani,My Way by Giorgio Armani 3 oz EDP Perfume for Women New In Box fast shipping,Eau de Parfum,33.92,US $33.92,10.0,10 available / 3 sold,3.0
Donna Karan,BE DELICIOUS Perfume DKNY Donna Karan 1.0 Oz 30 ml EDP Spray Women Without Box,Eau de Parfum,24.99,US $24.99/ea,10.0,More than 10 available / 370 sold,370.0
Givenchy,Amarige by Givenchy EDT for Women 3.3oz  / 100ml *NEW IN SEALED BOX*,EDT,49.99,US $49.99,10.0,More than 10 available / 174 sold,174.0
Narciso Rodriguez,Narciso Rodriguez for Her EDP 3.3oz - New Sealed Sophistication,Eau de Toilette,34.99,US $34.99/ea,6.0,6 available / 5 sold,5.0
ESCADA,Magnetism by Escada perfume for women EDP 2.5 oz New in Box,Eau de Parfum,30.45,US $30.45/ea,8.0,8 available / 738 sold,738.0
Lancôme,NEW & SEALED! Lancome Tresor In Love for Women L'Eau De Parfum Spray 2.5 oz 5D,L'Eau de Parfum,67.5,US $67.50,10.0,More than 10 available / 12 sold,12.0
Dolce&Gabbana,D&G DOLCE GABBANA 3 L'IMPERATRICE EDT 1.5ml Tester,Eau de Toilette,5.99,US $5.99,5.0,5 available / 3 sold,3.0
Dossier,Dossier FRUITY ORANGE Eau de Parfum 1.7 Fl oz / 50 mL Perfume NEW IN BOX,Eau de Parfum,15.0,US $15.00/ea,10.0,More than 10 available / 65 sold,65.0
Ariana Grande,Ariana Grande God Is A Woman Eau De Parfum,Eau de Parfum,15.99,US $15.99,9.0,9 available / 35 sold,35.0
Viktor & Rolf,Viktor & Rolf Flowerbomb Ruby Orchid 3.4 oz. Eau de Parfum Spray,Eau de Parfum,79.72,US $79.72/ea,10.0,10 available / 334 sold,334.0
Marc Jacobs,Marc Jacobs Daisy Eau So Fresh 4.2oz Women's Eau de Toilette Brand New & Sealed,Eau de Toilette,33.99,US $33.99/ea,3.0,3 available / 43 sold,43.0
Dolce & Gabbana,L'Imperatrice by Dolce & Gabbana D&G 3.3 / 3.4 oz EDT Perfume for Women NIB,Eau de Toilette,39.98,US $39.98,0.0,"Limited quantity available / 3,379 sold",3379.0
Michael Kors,Michael Kors Sexy Amber by Michael Kors 3.4 oz EDP For Women Perfume New In Box,Eau de Parfum,44.99,US $44.99/ea,10.0,"10 available / 1,647 sold",1647.0
Lancôme,Idole by Lancome Eau de Parfum EDP Perfume for Women 2.5 oz New in Box,Eau de Parfum,44.95,US $44.95,0.0,Last One / 14 sold,14.0
Le Labo,"Santal 33 by Le Labo, 3.4 oz EDP Spray for Unisex",Eau De Parfum,60.37,US $60.37,10.0,10 available / 9 sold,9.0
Burberry,Burberry Her Blossom by Burberry 3.3 oz EDP Perfume for Women New in Box,Eau de Toilette,53.99,US $53.99/ea,2.0,2 available / 10 sold,10.0
Victoria's Secret,Victoria's Secret Tease Women's EDP Spray 3.4 oz 100ml New in Box,Eau de Parfum,30.99,US $30.99/ea,4.0,4 available / 89 sold,89.0
Maison Alhambra,Delilah Perfumes EDP 3.4oz By Maison Alhambra Lattafa for Woman  Free Shipping,Eau de Parfum,23.9,US $23.90,10.0,More than 10 available / 2 sold,2.0
Kilian,Good Girl Gone Bad by Kilian 1.7 oz EDP REFILLABLE Spray. New Sealed Box,Eau de Parfum,99.99,US $99.99,0.0,Last One / 20 sold,20.0
Calvin Klein,CONTRADICTION by Calvin Klein 3.4 oz EDP Perfume For Women New in Box Sealed,Eau de Parfume,26.43,US $26.43/ea,96.0,"96 available / 5,314 sold",5314.0
Dossier,Dossier WOODY OAKMOSS Eau de Parfum 1.7 Fl oz / 50 mL Perfume NEW IN BOX,Eau de Parfum,20.0,US $20.00/ea,2.0,2 available / 41 sold,41.0
Dolce&Gabbana,Light Blue by Dolce & Gabbana 3.3 oz / 3.4 oz 100mL EDT Spray Brand New Sealed,"Eau de Toilette, Spray",29.95,US $29.95/ea,10.0,More than 10 available / 296 sold,296.0
Hollister,WAVE By Hollister California perfum for Women 3.3 / 3.4 oz EDP New Tester,Eau de Perfume,15.52,US $15.52/ea,26.0,26 available / 129 sold,129.0
Ralph Lauren,Ralph By Ralph Lauren EDT for Women 3.4 oz - 100 ml *NEW IN SEALED BOX*,Eau de Toilette,45.99,US $45.99,10.0,More than 10 available / 201 sold,201.0
Ariana Grande,Cloud By Ariana Grande 3.4oz EDP Perfume Spray Fragrance for Women New in Box,Eau de Parfum,29.99,US $29.99/ea,9.0,9 available / 14 sold,14.0
Glossier,Glossier You Eau de Parfum Rollerball (0.27oz /8mL) NEW,Eau de Parfum,27.31,US $27.31,10.0,More than 10 available / 5 sold,5.0
Dolce Gabbana,Dolce Gabbana Queen EDP Perfume for Women 3.4 oz Eau de Parfum Spray New Box,Eau de Parfum,38.99,US $38.99/ea,3.0,3 available / 122 sold,122.0
Ralph Lauren,Romance by Ralph Lauren 3.4 oz EDP Perfume for Women New In Box,Eau de Parfum,45.92,US $45.92/ea,0.0,"Limited quantity available / 3,009 sold",3009.0
Chloe,CHLOE Perfume Eau De Parfum EDP Splash Mini 0.16oz 5 ml NEW with Box,Eau de Parfum,12.99,US $12.99,15.0,15 available / 36 sold,36.0
LANCOME,Lancome Idole Le Parfum  Spray  25ML/0.8 fl OZ New In Box,Eau de Parfum,26.99,US $26.99,10.0,More than 10 available / 44 sold,44.0
Jimmy Choo,I Want Choo Forever by Jimmy Choo 3.3 oz EDP Perfume for Women New in Box,Eau de Parfum,58.61,US $58.61/ea,0.0,Limited quantity available / 770 sold,770.0
Lancome,Poeme by Lancome 3.4 oz./ 100 ml. L'eau de Parfum Spray for Women in Sealed Box,L'eau de Parfum,86.99,US $86.99/ea,10.0,"10 available / 1,385 sold",1385.0
Victoria's Secret,VICTORIA SECRET TEASE 3.4 oz 100 ml Eau De Parfum Women's Spray,Eau de Parfum,54.0,US $54.00,4.0,4 available / 26 sold,26.0
Natalie,Natalie Wood Signature Fragrance Spray Purse Travel Eau de Parfum Bottle .34 oz,Eau de Parfum,5.99,US $5.99/ea,196.0,196 available / 32 sold,32.0
Paris Hilton,PARIS HILTON 3.4 / 3.3 oz edp Perfume for Women New in Box,Eau de Parfum,24.39,US $24.39/ea,123.0,"123 available / 5,558 sold",5558.0
Calvin Klein,"Calvin Klein Euphoria Eau de Parfum, 1.6 Oz new open box Scuffed",Eau de Parfum,22.99,US $22.99,10.0,More than 10 available / 347 sold,347.0
Lattafa,Fakhar Lattafa 3.4 EDP Parfum Perfume for Women New in Box,Eau de Parfum,21.98,US $21.98,10.0,More than 10 available / 278 sold,278.0
Parfums de Marly,"Parfums de Marly Delina La Rosee by Parfums de Marly, 2.5oz EDP Spray  For Women",Eau de Parfum,76.99,US $76.99/ea,2.0,2 available / 13 sold,13.0
Coach,Coach Poppy Flower 3.4 oz  100 mL Eau De Parfum Spray Brand New in Box Sealed,Eau de Parfum,28.99,US $28.99/ea,8.0,8 available / 152 sold,152.0
Victoria's Secret,Victoria's Secret Bombshell Women's 3.4 fl oz Eau de Parfum NEW IN BOX & SEALED,Eau de Parfum,33.89,US $33.89/ea,9.0,9 available / 216 sold,216.0
Viktor & Rolf,Flowerbomb by Viktor & Rolf 3.4 oz L'Eau de Parfum Spray BRAND NEW SEALED IN BOX,Eau de Parfum,59.99,US $59.99/ea,10.0,More than 10 available / 150 sold,150.0
Kilian,"*YOU PICK!* Kilian LOVE DON'T BE SHY, GOOD GIRL GONE BAD 1.5ml OFFICIAL Samples",Eau de Parfum,8.99,US $8.99,10.0,More than 10 available / 344 sold,344.0
Dolce&Gabbana,Dolce & Gabbana DOLCE VIOLET Women Perfume 5ml EDT Splash MINI Travel Size (C61,Eau de Parfum,18.95,US $18.95/ea,8.0,8 available / 9 sold,9.0
Clinique,NEW Aromatics Elixir By Clinique For Women. Body Smoother 6.7 oz/200 ml,SKIN_MOISTURIZER,20.79,US $20.79,7.0,7 available / 33 sold,33.0
Parfums de Marly,Delina by Parfums de Marly 2.5 oz EDP Perfume for Women New in Box!,Perfume,89.99,US $89.99/ea,6.0,6 available / 7 sold,7.0
Ralph Lauren,Big Pony 2 Fruity Sensual by Ralph Lauren for women EDT 3.3 / 3.4 oz,Eau de Toilette,20.31,US $20.31/ea,8.0,8 available / 84 sold,84.0
Juicy Couture,VIVA LA JUICY ROSE COUTURE by Juicy Couture 3.4 oz EDP For Women New in Box,Eau de Parfum,34.6,US $34.60/ea,89.0,"89 available / 1,833 sold",1833.0
Burberry,BURBERRY CLASSIC by Burberry perfume for women EDP 3.3 / 3.4 oz New in Box,Eau de Parfum,38.14,US $38.14/ea,0.0,Limited quantity available / 725 sold,725.0
Avon,Avon FAR AWAY Eau De Parfum Perfume Spray 1.7 oz~Free Travel spray,Eau de Parfum,16.89,US $16.89/ea,10.0,More than 10 available / 551 sold,551.0
Elizabeth Arden,GREEN TEA CUCUMBER by Elizabeth Arden for Women 3.3 oz 100 ml Eau Toilette Spray,Eau de Toilette,12.95,US $12.95/ea,5.0,5 available / 24 sold,24.0
Jimmy Choo,Jimmy Choo Ladies I Want Choo Forever EDP Spray 3.38 oz (Tester) Fragrances,Eau de Parfum,49.81,US $49.81,3.0,3 available / 30 sold,30.0
Narciso Rodriguez,Narciso Rodriguez for Her 3.3 fl oz Eau De Parfum Spray for Women New In Box,Eau de Parfum,34.99,US $34.99/ea,10.0,More than 10 available / 36 sold,36.0
Chaka by Chaka Khan,Chaka by Chaka Khan Energizing 3.4 oz. EDP-Open Box,EDP and Parfum,29.95,US $29.95,6.0,6 available / 19 sold,19.0
Thierry Mugler,Alien by Thierry Mugler 3 oz EDP Perfume for Women New In Box,"Perfume, Eau de Parfum",85.56,US $85.56/ea,0.0,Limited quantity available / 953 sold,953.0
CHANEL,Chanel Chance Eau Fraiche Eau De Parfum 3.4 oz New & Sealed 100% Authentic,Eau de Parfum,119.0,US $119.00,2.0,2 available / 7 sold,7.0
HUGO BOSS,Deep Red by Hugo Boss Perfume for women 3.0 oz edp New in Box,Eau de Parfum,27.26,US $27.26/ea,32.0,"32 available / 4,977 sold",4977.0
Thierry Mugler,Angel by Thierry Mugler 3.4 oz Eau De Parfum Spray Refillable Star New & Sealed,Eau de Parfum,69.99,US $69.99/ea,2.0,2 available / 27 sold,27.0
Valentino,Valentino DONNA by Valentino for Women 3.4 oz.Eau De Parfum Spray in Sealed Box,Eau de Parfum,99.99,US $99.99,10.0,More than 10 available / 5 sold,5.0
Maison Margiela,Maison Margiela Replica Lazy Sunday Morning Eau de Toilette 3.4 oz New in Box US,Eau de Toilette,48.88,US $48.88,9.0,9 available / 51 sold,51.0
PRADA,Prada Candy by Prada 2.7oz / 80ml Eau De Parfum Brand New Sealed in Box,Eau de Parfum,48.99,US $48.99/ea,8.0,8 available / 37 sold,37.0
Marc Jacobs,Marc Jacobs Daisy Wild Eau De Parfum EDP Miniature Splash For Women 4 ml-NIB,Eau de Parfum,28.99,US $28.99,7.0,7 available / 3 sold,3.0
Maison Alhambra,Glacier Bold EDP Perfume By Maison Alhambra Lattafa 100 ML New Release,Eau de Parfum,37.99,US $37.99,10.0,More than 10 available / 16 sold,16.0
Davidoff,Cool Water by Davidoff EDT for Women 3.4 oz / 100 ml *NEW*,Eau de Toilette,20.99,US $20.99,4.0,4 available / 20 sold,20.0
Jo Malone,Jo Malone Velvet Rose & Oud Cologne Intense Women's Eau de 3.4 fl oz/100ml,Eau de Cologne,86.99,US $86.99,4.0,4 available / 6 sold,6.0
Juicy Couture,VIVA LA JUICY by Juicy Couture perfume for women EDP 3.3 / 3.4 oz New Tester,Eau de Perfume,29.55,US $29.55/ea,408.0,408 available / 886 sold,886.0
Lancôme,Set 2 Lancome Perfume La Vie Est Belle Eau de Parfum EDP Travel Size 4ml ea =8ml,Eau de Parfum,9.99,US $9.99,10.0,More than 10 available / 65 sold,65.0
Thierry Mugler,Aura Mugler by Thierry Mugler Eau de Parfum Miniature Splash Perfume for Women,Eau de Parfum,12.99,US $12.99,10.0,More than 10 available / 89 sold,89.0
Dossier,Dossier FLORAL MARSHMALLOW Eau de Parfum 1.7 Fl oz / 50 mL Perfume NEW IN BOX,Eau de Parfum,26.9,US $26.90/ea,10.0,More than 10 available / 150 sold,150.0
